mach,CD Power-Off
0.01,0.392353837
0.02,0.393021549
0.03,0.381667733
0.04,0.371034944
0.05,0.361955159
0.06,0.354223844
0.07,0.347567106
0.08,0.34176161
0.09,0.336637894
0.1,0.332068333
0.11,0.327955874
0.12,0.324225506
0.13,0.319688052
0.14,0.31996678
0.15,0.32001116
0.16,0.319880142
0.17,0.319616878
0.18,0.319253351
0.19,0.318813721
0.2,0.318316365
0.21,0.317775407
0.22,0.317201838
0.23,0.316604234
0.24,0.315989334
0.25,0.315362483
0.26,0.314819567
0.27,0.314274283
0.28,0.313729029
0.29,0.313185731
0.3,0.312645871
0.31,0.312110643
0.32,0.311581006
0.33,0.311057679
0.34,0.310541214
0.35,0.310032024
0.36,0.309530455
0.37,0.309036725
0.38,0.308550977
0.39,0.308073311
0.4,0.307603739
0.41,0.307142315
0.42,0.306688962
0.43,0.30624363
0.44,0.305806289
0.45,0.305376814
0.46,0.304955071
0.47,0.304540991
0.48,0.304134426
0.49,0.303735248
0.5,0.303343324
0.51,0.302958499
0.52,0.302580669
0.53,0.302209641
0.54,0.301845317
0.55,0.301487547
0.56,0.30113619
0.57,0.300791089
0.58,0.30045212
0.59,0.300119158
0.6,0.29979207
0.61,0.299655016
0.62,0.29951702
0.63,0.299384521
0.64,0.299257435
0.65,0.29913555
0.66,0.299018757
0.67,0.298906954
0.68,0.298799983
0.69,0.298697715
0.7,0.298600063
0.71,0.298506895
0.72,0.298418089
0.73,0.298333538
0.74,0.298253156
0.75,0.298176849
0.76,0.298104484
0.77,0.298036013
0.78,0.2979713
0.79,0.297910266
0.8,0.297852847
0.81,0.297798957
0.82,0.297748503
0.83,0.297701405
0.84,0.297657594
0.85,0.297617
0.86,0.297579524
0.87,0.29754515
0.88,0.297513757
0.89,0.297485319
0.9,0.297459741
0.91,0.299482467
0.92,0.305550646
0.93,0.343594417
0.94,0.410579691
0.95,0.477564965
0.96,0.544550239
0.97,0.611535513
0.98,0.678520787
0.99,0.745506061
1,0.812491335
1.01,0.879476609
1.02,0.946461883
1.03,1.013447157
1.04,1.080432431
1.05,1.147417705
1.06,1.084203021
1.07,1.034581932
1.08,0.994172372
1.09,0.960349128
1.1,0.931430477
1.11,0.906282499
1.12,0.884108965
1.13,0.864332141
1.14,0.84652103
1.15,0.830346784
1.16,0.815048072
1.17,0.800911137
1.18,0.787791815
1.19,0.775557502
1.2,0.76409897
1.21,0.753325315
1.22,0.743160191
1.23,0.73353888
1.24,0.724406159
1.25,0.715714535
1.26,0.707422836
1.27,0.699495375
1.28,0.691900748
1.29,0.684611433
1.3,0.677603056
1.31,0.670853976
1.32,0.664344909
1.33,0.658058642
1.34,0.651979629
1.35,0.646093958
1.36,0.640388974
1.37,0.634853214
1.38,0.629476289
