mach,CD Power-On
0.01,0.381678535
0.02,0.382346247
0.03,0.370992432
0.04,0.360359642
0.05,0.351279857
0.06,0.343548542
0.07,0.336891805
0.08,0.331086309
0.09,0.325962592
0.1,0.321393031
0.11,0.317280573
0.12,0.313550204
0.13,0.30901275
0.14,0.309291478
0.15,0.309335858
0.16,0.30920484
0.17,0.308941576
0.18,0.308578049
0.19,0.308138419
0.2,0.307641064
0.21,0.307100106
0.22,0.306526536
0.23,0.305928932
0.24,0.305314032
0.25,0.304687181
0.26,0.304144266
0.27,0.303598981
0.28,0.303053727
0.29,0.302510429
0.3,0.301970569
0.31,0.301435341
0.32,0.300905705
0.33,0.300382378
0.34,0.299865913
0.35,0.299356722
0.36,0.298855153
0.37,0.298361423
0.38,0.297875675
0.39,0.297398009
0.4,0.296928437
0.41,0.296467014
0.42,0.296013661
0.43,0.295568329
0.44,0.295130987
0.45,0.294701512
0.46,0.294279769
0.47,0.29386569
0.48,0.293459124
0.49,0.293059946
0.5,0.292668023
0.51,0.292283198
0.52,0.291905367
0.53,0.291534339
0.54,0.291170016
0.55,0.290812245
0.56,0.290460888
0.57,0.290115787
0.58,0.289776818
0.59,0.289226633
0.6,0.288682323
0.61,0.288328046
0.62,0.287972828
0.63,0.287623107
0.64,0.287278797
0.65,0.286939691
0.66,0.286605675
0.67,0.286276649
0.68,0.285952455
0.69,0.285632965
0.7,0.28531809
0.71,0.2850077
0.72,0.284701672
0.73,0.284399898
0.74,0.284102293
0.75,0.283808764
0.76,0.283519176
0.77,0.283233483
0.78,0.282951547
0.79,0.282673291
0.8,0.282398649
0.81,0.282127537
0.82,0.281859859
0.83,0.281595539
0.84,0.281334505
0.85,0.281076689
0.86,0.280821991
0.87,0.280570394
0.88,0.280321778
0.89,0.280076117
0.9,0.279833317
0.91,0.281736184
0.92,0.287444783
0.93,0.324725419
0.94,0.390723791
0.95,0.456722163
0.96,0.522720535
0.97,0.588718907
0.98,0.654717279
0.99,0.720715651
1,0.786714023
1.01,0.852712396
1.02,0.918710768
1.03,0.98470914
1.04,1.050707512
1.05,1.116705884
1.06,1.053621307
1.07,1.004130325
1.08,0.963850872
1.09,0.930157736
1.1,0.901369192
1.11,0.876351321
1.12,0.854307894
1.13,0.834661178
1.14,0.816980174
1.15,0.800936036
1.16,0.785767431
1.17,0.771760603
1.18,0.758771389
1.19,0.746667183
1.2,0.735254188
1.21,0.724480533
1.22,0.714315409
1.23,0.704694098
1.24,0.695561377
1.25,0.686869752
1.26,0.678578054
1.27,0.670650593
1.28,0.663055966
1.29,0.655766651
1.3,0.648758274
1.31,0.642009194
1.32,0.635500127
1.33,0.62921386
1.34,0.623134847
1.35,0.617249176
1.36,0.611544192
1.37,0.606008432
1.38,0.600631507
1.39,0.595403941
1.4,0.590317009
1.41,0.585362791
1.42,0.580534002
1.43,0.575823915
1.44,0.571226283
1.45,0.566735469
1.46,0.562346075
1.47,0.558053235
1.48,0.553852388
1.49,0.549739262
1.5,0.545709885
1.51,0.541760569
1.52,0.537887827
1.53,0.534088461
1.54,0.53035938
1.55,0.526697787
1.56,0.523100965
1.57,0.519566398
1.58,0.516091705
1.59,0.512674677
1.6,0.509313126
1.61,0.506005126
1.62,0.502748751
1.63,0.499542199
1.64,0.496383792
1.65,0.493271899
1.66,0.490205003
1.67,0.487181629
1.68,0.484200436
1.69,0.481260027
1.7,0.478359237
1.71,0.475496789
1.72,0.472671585
1.73,0.469882536
1.74,0.467128572
1.75,0.464408694
